MeterID,Description,Units,Resource,BuildingID,BuildingName,GrossSquareFeet,BuildDate,Latitude,Longitude,Campus,Organization,LocationType,SteamSourceID,ChilledWaterSourceID,HotWaterSourceID
OSU_RTS.MDBUS_C1.001_HF,BRICKER CW HEAT FLOW,KBTU/HR,Chilled Water ,1,"Bricker, John W, Hall",74140.0,1924-07-01,40.00063,-83.01339,Main,ADM,Administration,69,69,69
OSU_RTS.MDBUS_RT.001S_HF,BRICKER ST HEAT FLOW,KBTU/HR,Steam,1,"Bricker, John W, Hall",74140.0,1924-07-01,40.00063,-83.01339,Main,ADM,Administration,69,69,69
OSU_RTS.MDBUS_RT.102S_HF,OXLEY STM HEAT FLOW,KBTU/HR,Steam,102,Oxley Hall,31148.0,1908-07-01,39.99655,-83.0144,Main,ACA,Academic,105,105,105
OSU_RTS.MDBUS_RT.105S_HF,KENNEDY STM HEAT FLOW,KBTU/HR,Steam,105,"Kennedy, June F, Commons",36868.0,1939-07-01,39.99659,-83.01399,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_RT.106S_HF,SULLIVANT STM HEAT FLOW,KBTU/HR,Steam,106,"Sullivant, Joseph, Hall",135883.0,1913-07-01,39.99945,-83.00875,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.107S_HF,WATTS ST HEAT FLOW,KBTU/HR,Steam,107,Watts Hall,35504.0,1955-07-01,40.00347,-83.01126,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_H1.011_HHF,ARPS HW HEAT FLOW,KBTU/HR,Heating Hot Water,11,"Arps, George F, Hall",129371.0,1925-07-01,40.00193,-83.00947,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RH.1101_HHF,TORRES HW HEAT FLOW,KBTU/HR,Heating Hot Water,1101,Torres House,127073.0,2015-07-01,40.00595,-83.01366,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1101_HF,TORRES HW HEAT FLOW,KBTU/HR,Chilled Water ,1101,Torres House,127073.0,2015-07-01,40.00595,-83.01366,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1102_HHF,HOUSTON HW HEAT FLOW,KBTU/HR,Heating Hot Water,1102,Houston House,136557.0,2016-07-01,40.00581,-83.01166,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1102C_HF,HOUSTON CW HEAT FLOW,KBTU/HR,Chilled Water ,1102,Houston House,136557.0,2016-07-01,40.00581,-83.01166,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1103_HHF,RANEY HW HEAT FLOW,KBTU/HR,Heating Hot Water,1103,Raney House,125474.0,2015-07-01,40.00547,-83.01003,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1103C_HF,RANEY CW HEAT FLOW,KBTU/HR,Chilled Water ,1103,Raney House,125474.0,2015-07-01,40.00547,-83.01003,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1104_HHF,BOWEN HW HEAT FLOW,KBTU/HR,Heating Hot Water,1104,Bowen House,95448.0,2015-07-01,40.00536,-83.00942,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1104C_HF,BOWEN CW HEAT FLOW,KBTU/HR,Chilled Water ,1104,Bowen House,95448.0,2015-07-01,40.00536,-83.00942,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1105_HHF,BUSCH HW HEAT FLOW,KBTU/HR,Heating Hot Water,1105,Busch House,109926.0,2016-07-01,40.00475,-83.0093,Main,SDL,Student Housing,,,
OSU_RTS.MDBUS_RH.1105C_HF,BUSCH CW HEAT FLOW,KBTU/HR,Chilled Water ,1105,Busch House,109926.0,2016-07-01,40.00475,-83.0093,Main,SDL,Student Housing,,,
